id,longitude,latitude
24560,30.3564438,-0.8050651
24614,30.3628985,-1.6117606
24666,29.2247239,-4.8410498
24668,30.3693641,-2.4204458
24669,30.9437983,-1.2103950
24720,29.8026972,-4.4438645
24721,30.3753778,-3.2315336
24722,30.9490554,-2.0197181
24723,31.5247844,-0.8079730
24774,29.8069053,-5.2606938
24775,30.3803730,-4.0455013
24776,30.9539214,-2.8314213
24777,31.5287597,-1.6179033
24828,29.8084153,-6.0816741
24829,30.3836492,-4.8629046
24830,30.9578387,-3.6459720
24831,31.5324082,-2.4301895
24832,32.1085666,-1.2150122
24881,29.8060891,-6.9076020
24882,30.3843322,-5.6843959
24883,30.9601215,-4.4639128
24884,31.5351813,-3.2452893
24885,32.1109266,-2.0278501
24936,30.3813207,-6.5107459
24937,30.9599190,-5.2858776
24938,31.5364079,-4.0637324
24939,32.1124879,-2.8434664
24940,32.6895652,-1.6244156
24990,30.3732132,-7.3428732
24991,30.9561653,-6.1126132
24992,31.5352594,-4.8861354
24993,32.1125936,-3.6623783
24994,32.6898456,-2.4405170
25044,30.9475122,-6.9450048
25045,31.5307041,-5.7132218
25046,32.1104369,-4.4851857
25047,32.6887641,-3.2598656
25048,33.2673416,-2.0364556
25049,33.8475575,-0.8143150
25098,30.9322367,-7.7841104
25099,31.5214443,-6.5458456
25100,32.1050183,-5.3125899
25101,32.6855348,-4.0830452
25102,33.2650050,-2.8562099
25103,33.8450634,-1.6312969
25152,30.9081128,-8.6312039
25153,31.5058325,-7.3850229
25154,32.0950885,-6.1454155
25155,32.6791895,-4.9107359
25156,33.2606371,-3.6797309
25157,33.8414021,-2.4514273
25158,34.4230986,-1.2250561
25206,31.4817544,-8.2319711
25207,32.0790704,-6.9846393
25208,32.6685242,-5.7437346
25209,33.2532994,-4.5076784
25210,33.8358278,-3.2752601
25211,34.4180416,-2.0455340
25260,31.7228962,-8.8951659
25261,32.0549537,-7.8314261
25262,32.6520280,-6.5829809
25263,33.2418310,-5.3408226
25264,33.8274301,-4.1034358
25265,34.4111911,-2.8696502
25266,34.9950099,-1.6385467
25315,32.2963014,-8.4935807
25316,32.6277872,-7.4295908
25317,33.2247833,-6.1800688
25318,33.8150891,-4.9366996
25319,34.4016641,-3.6980268
25320,34.9868119,-2.4629190
25368,32.5282791,-9.1628646
25369,32.8692706,-8.0907119
25370,33.2003323,-7.0264870
25371,33.7974148,-5.7759239
25372,34.3883792,-4.5313854
25373,34.9760844,-3.2914704
25374,35.5627756,-2.0550844
25423,33.1017418,-8.7587598
25424,33.4418822,-7.6865810
25425,33.7726666,-6.6221363
25426,34.3700015,-5.3705673
25427,34.9617825,-4.1248998
25428,35.5507744,-2.8837855
25477,33.3262511,-9.4327045
25478,33.6747593,-8.3534069
25479,34.0142149,-7.2812092
25480,34.3448686,-6.2165599
25481,34.9426233,-4.9640195
25482,35.5353808,-3.7172628
25483,36.1258183,-2.4749909
25531,33.8999677,-9.0259840
25532,34.2474128,-7.9468262
25533,34.5863480,-6.8746175
25534,34.9170170,-5.8097792
25535,35.5153604,-4.5563012
25536,36.1092565,-3.3084942
25537,36.7013009,-2.0651058
25585,34.1184255,-9.7034536
25586,34.4732218,-8.6180528
25587,34.8197838,-7.5390383
25588,35.1583615,-6.4668268
25589,35.4891916,-5.4018150
25590,36.0882938,-4.1474330
25591,36.6834927,-2.8986138
25639,34.3309726,-10.3850634
25640,34.6925229,-9.2940673
25641,35.0460979,-8.2089303
25642,35.3919542,-7.1300632
25643,35.7303355,-6.0578581
25644,36.0614727,-4.9926884
25645,36.6615055,-3.7374353
25646,37.2581734,-2.4876416
25692,34.5383791,-11.0701551
25693,34.9061243,-9.9741479
25694,35.2661368,-8.8835071
25695,35.6186806,-7.7986361
25696,35.9640061,-6.7199212
25697,36.3023511,-5.6477318
25698,36.6339412,-4.5824200
25699,37.2350778,-3.3263286
25746,34.7413514,-11.7581518
25747,35.1147682,-10.6576603
25748,35.4806790,-9.5620752
25749,35.8393551,-8.4717918
25750,36.1910545,-7.3871894
25751,36.5360220,-6.3086323
25752,36.8744899,-5.2364685
25753,37.2066789,-4.1710306
25754,37.8090943,-2.9141333
25801,35.3191378,-11.3440472
25802,35.6904409,-10.2440235
25803,36.0547284,-9.1488638
25804,36.4122656,-8.0589400
25805,36.7633046,-6.9746098
25806,37.1080849,-5.8962165
25807,37.4468341,-4.8240887
25808,37.7797685,-3.7585407
25855,35.8960834,-10.9288131
25856,36.2654929,-9.8292628
25857,36.6283638,-8.7345317
25858,36.9849559,-7.6449705
25859,37.3355158,-6.5609164
25860,37.6802784,-5.4826937
25861,38.0194667,-4.4106128
25909,36.0982167,-11.6159692
25910,36.4722882,-10.5124676
25911,36.8400189,-9.4133960
25912,37.2016760,-8.3190972
25913,37.5575136,-7.2299019
25914,37.9077737,-6.1461287
25915,38.2526865,-5.0680838
25916,38.5924715,-3.9960611
25964,36.6757065,-11.1980174
25965,37.0478508,-10.0950286
25966,37.4141133,-8.9964411
25967,37.7747555,-7.9025784
25968,38.1300266,-6.8137530
25969,38.4801640,-5.7302659
25970,38.8253942,-4.6524067
26017,36.8762969,-11.8855047
26018,37.2524343,-10.7789822
26019,37.6228690,-9.6765139
26020,37.9878698,-8.5784158
26021,38.3476928,-7.4849935
26022,38.7025828,-6.3965424
26023,39.0527731,-5.3133472
26072,37.4543037,-11.4648600
26073,37.8285018,-10.3588815
26074,38.1974399,-9.2569413
26075,38.5613816,-8.1593381
26076,38.9205783,-7.0663608
26077,39.2752705,-5.9782888
26078,39.6256878,-4.8953920
26127,38.0315314,-11.0431575
26128,38.4040092,-9.9377332
26129,38.7716599,-8.8363285
26130,39.1347419,-7.7392257
26131,39.4935025,-6.6466983
26132,39.8481781,-5.5590110
26180,38.2324429,-11.7289984
26181,38.6080839,-10.6204154
26182,38.9790561,-9.5155553
26183,39.3456248,-8.4146933
26184,39.7080436,-7.3180966
26235,38.8101370,-11.3046524
26236,39.1840638,-10.1966520
26237,39.5537414,-9.0923653
26238,39.9194302,-7.9920531
61282,39.3871445,-10.8792910
61283,39.7595729,-9.7718851
61336,39.9647684,-10.4507614
61390,40.1700036,-11.1288863
61391,40.5420400,-10.0241769
61445,40.7490242,-10.7009466
