id,longitude,latitude
26343,22.3382233,48.2010734
26397,23.2670793,47.8624204
26398,22.4801843,48.9072602
26452,23.4206584,48.5686058
26453,22.6309914,49.6120216
26505,24.3470524,48.2222254
26506,23.5834946,49.2732935
26559,25.2595051,47.8683276
26560,24.5213901,48.9267522
26561,23.7567582,49.9761688
26614,25.4448213,48.5726145
26615,24.7065636,49.6293758
26616,23.9417543,50.6768705
26617,23.1486263,51.7145576
26664,28.3574646,44.9707532
26667,26.3539498,48.2110916
26668,25.6413556,49.2749069
26669,24.9039033,50.3297141
26670,24.1399381,51.3749853
26719,28.5603344,45.6769274
26722,26.5613018,48.9129815
26723,25.8504621,49.9748009
26724,25.1148917,51.0273287
26725,24.3529324,52.0700395
26773,29.3975005,45.2888348
26774,28.7732494,46.3815430
26776,27.4665869,48.5438131
26777,26.7816051,49.6123596
26778,26.0736491,50.6718326
26779,25.3411811,51.7217165
26827,29.6186294,45.9929922
26828,28.9973704,47.0842324
26829,28.3574114,48.1676086
26830,27.6975251,49.2426124
26831,27.0163928,50.3087354
26832,26.3125970,51.3654684
26881,30.4512147,45.5980558
26882,29.8512092,46.6951585
26883,29.2339897,47.7845687
26884,28.5984309,48.8657749
26885,27.9433246,49.9382688
26886,27.2673723,51.0015438
26887,26.5691771,52.0550952
26936,30.6917714,46.2996629
26937,30.0965491,47.3948870
26938,29.4845461,48.4820560
26939,28.8546630,49.5606575
26940,28.2057188,50.6301843
26941,27.5364440,51.6901340
26989,31.5192975,45.8979190
26990,30.9453285,46.9987508
26991,30.3561074,48.0916575
26992,29.7506418,49.1761194
26993,29.1278663,50.2516247
26994,28.4866366,51.3176694
27044,31.7805770,46.5963402
27045,31.2133631,47.6947744
27046,30.6315081,48.7848651
27047,30.0340601,49.8660921
27048,29.4199975,50.9379460
27098,32.6025532,46.1878287
27099,32.0565721,47.2915944
27100,31.4975211,48.3870980
27101,30.9245594,49.4738067
27102,30.3367854,50.5512013
27103,29.7332319,51.6187769
27151,33.4115241,45.7733826
27152,32.8860023,46.8822983
27153,32.3489503,47.9830143
27154,31.7996354,49.0749809
27155,31.2372733,50.1576651
27156,30.6610235,51.2305512
27206,33.7019304,46.4670593
27207,33.1860746,47.5728025
27208,32.6595700,48.6698196
27209,32.1217463,49.7575593
27210,31.5718865,50.8354907
27211,31.0092226,51.9031035
27260,34.5046399,46.0460436
27261,34.0091807,47.1566438
27262,33.5046540,48.2585203
27263,32.9905003,49.3510984
27264,32.4661222,50.4338272
27265,31.9308814,51.5061801
27313,35.2944215,45.6194097
27314,34.8185625,46.7347119
27315,34.3351861,47.8412726
27316,33.8438400,48.9384890
27317,33.3440428,50.0257849
27318,32.8352811,51.1026122
27319,32.3170072,52.1684513
27368,35.6145199,46.3071728
27369,35.1514713,47.4182587
27370,34.6820776,48.5199298
27371,34.2059689,49.6115796
27372,33.7227527,50.6926334
27373,33.2320113,51.7625485
27423,35.9538204,46.9896527
27424,35.5055311,48.0956119
27425,35.0522286,49.1914196
27426,34.5936360,50.2764688
27427,34.1294604,51.3501884
27428,33.2156300,52.6097730
27476,36.7425488,46.5556214
27477,36.3145239,47.6657185
27478,35.8831553,48.7655052
27479,35.4482775,49.8543356
27480,35.0097165,50.9316048
27481,34.1321873,52.1976166
27531,37.1093828,47.2304253
27532,36.6990869,48.3340287
27533,36.2870289,49.4264430
27534,35.8731485,50.5070226
27585,37.8904379,46.7898997
27586,37.5003643,47.8971750
27587,37.1102458,48.9929922
27588,36.7201303,50.0766588
27639,38.2873302,47.4551209
27640,37.9182860,48.5541767
27641,37.5510389,49.6407218
27694,38.7115085,48.1101824
27695,38.3662532,49.1994124
27696,37.6224163,50.4873403
27748,39.4902723,47.6611877
27749,39.1661526,48.7529233
27750,38.4529700,50.0454697
27802,39.9511158,48.3014396
27803,39.2675298,49.5982924
27857,40.0665004,49.1460006
27912,40.2021011,49.9792453
