id,latitude,longitude
1,51.823823752,-178.8969676594
2,51.5549595067,-178.8969676594
3,51.419928089,-179.0221688056
4,51.2844965596,-179.1473699519
5,51.2844965596,-178.8969676594
6,51.6895912471,-178.7717665131
7,51.823823752,-178.6465653668
8,51.5549595067,-178.6465653668
9,51.9576574707,-178.270961928
10,51.823823752,-178.1457607817
11,51.9576574707,-178.0205596354
12,51.6895912471,-178.0205596354
13,51.823823752,-177.8953584892
14,51.5549595067,-177.8953584892
15,51.6895912471,-177.7701573429
16,51.823823752,-177.6449561966
17,51.9576574707,-177.5197550503
18,51.6895912471,-177.5197550503
19,51.823823752,-177.3945539041
20,51.9576574707,-177.2693527578
21,51.6895912471,-177.2693527578
22,51.823823752,-177.1441516115
23,51.9576574707,-177.0189504652
24,51.6895912471,-177.0189504652
25,51.823823752,-176.893749319
26,51.5549595067,-176.893749319
27,51.9576574707,-176.7685481727
28,51.6895912471,-176.7685481727
29,51.823823752,-176.6433470264
30,51.5549595067,-176.6433470264
31,51.9576574707,-176.5181458801
32,51.6895912471,-176.5181458801
33,51.823823752,-176.3929447339
34,51.9576574707,-176.2677435876
35,51.6895912471,-176.2677435876
36,52.0910928599,-176.1425424413
37,51.823823752,-176.1425424413
38,51.9576574707,-176.017341295
39,52.0910928599,-175.8921401488
40,51.823823752,-175.8921401488
41,51.9576574707,-175.7669390025
42,52.2241303836,-175.5165367099
43,51.9576574707,-175.5165367099
44,52.0910928599,-175.3913355637
45,51.9576574707,-175.2661344174
46,52.0910928599,-175.1409332711
47,51.9576574707,-175.0157321248
48,52.0910928599,-174.8905309786
49,51.9576574707,-174.7653298323
50,52.0910928599,-174.640128686
51,52.2241303836,-174.5149275398
52,51.9576574707,-174.5149275398
53,52.3567705129,-174.3897263935
54,52.0910928599,-174.3897263935
55,52.4890137263,-174.2645252472
56,52.2241303836,-174.2645252472
57,52.3567705129,-174.1393241009
58,52.0910928599,-174.1393241009
59,52.2241303836,-174.0141229547
60,52.3567705129,-173.8889218084
61,52.0910928599,-173.8889218084
62,52.0910928599,-173.6385195158
63,52.2241303836,-173.5133183696
64,51.9576574707,-173.5133183696
65,52.0910928599,-173.3881172233
66,60.6887053353,-173.1377149307
67,60.4756805999,-173.1377149307
68,52.0910928599,-173.1377149307
69,60.5823685424,-173.0125137845
70,60.4756805999,-172.8873126382
71,52.0910928599,-172.8873126382
72,60.3686407194,-172.7621114919
73,60.4756805999,-172.6369103456
74,60.2612481148,-172.6369103456
75,52.3567705129,-172.6369103456
76,60.3686407194,-172.5117091994
77,52.2241303836,-172.5117091994
78,60.2612481148,-172.3865080531
79,52.3567705129,-172.3865080531
80,60.3686407194,-172.2613069068
81,60.2612481148,-172.1361057605
82,63.7195153446,-171.885703468
83,63.5268320915,-171.885703468
84,63.815367798,-171.7605023217
85,63.6233370544,-171.7605023217
86,63.4299996212,-171.7605023217
87,63.7195153446,-171.6353011754
88,63.5268320915,-171.6353011754
89,63.3328388094,-171.6353011754
90,63.6233370544,-171.5101000292
91,63.4299996212,-171.5101000292
92,63.5268320915,-171.3848988829
93,63.3328388094,-171.3848988829
94,63.6233370544,-171.2596977366
95,63.4299996212,-171.2596977366
96,52.4890137263,-171.2596977366
97,63.5268320915,-171.1344965903
98,52.620860509,-171.1344965903
99,-11.1237818754,-171.1344965903
100,63.6233370544,-171.0092954441
101,63.4299996212,-171.0092954441
102,63.5268320915,-170.8840942978
103,52.620860509,-170.8840942978
104,63.6233370544,-170.7588931515
105,63.4299996212,-170.7588931515
106,52.7523113533,-170.7588931515
107,52.4890137263,-170.7588931515
108,-14.2964274566,-170.7588931515
109,63.7195153446,-170.6336920052
110,63.5268320915,-170.6336920052
111,63.3328388094,-170.6336920052
112,52.620860509,-170.6336920052
113,63.6233370544,-170.508490859
114,63.4299996212,-170.508490859
115,57.2255181558,-170.508490859
116,52.7523113533,-170.508490859
117,-14.2964274566,-170.508490859
118,63.7195153446,-170.3832897127
119,63.5268320915,-170.3832897127
120,63.3328388094,-170.3832897127
121,57.1079412316,-170.3832897127
122,63.6233370544,-170.2580885664
123,63.4299996212,-170.2580885664
124,63.2353488233,-170.2580885664
125,57.2255181558,-170.2580885664
126,52.7523113533,-170.2580885664
127,63.5268320915,-170.1328874201
128,63.3328388094,-170.1328874201
129,63.1375288309,-170.1328874201
130,57.1079412316,-170.1328874201
131,52.8833667585,-170.1328874201
132,63.6233370544,-170.0076862739
133,63.4299996212,-170.0076862739
134,63.2353488233,-170.0076862739
135,57.2255181558,-170.0076862739
136,52.7523113533,-170.0076862739
137,63.3328388094,-169.8824851276
138,63.1375288309,-169.8824851276
139,62.9408955038,-169.8824851276
140,56.6338840264,-169.8824851276
141,52.8833667585,-169.8824851276
142,63.4299996212,-169.7572839813
143,63.2353488233,-169.7572839813
144,63.039378001,-169.7572839813
145,56.5144289305,-169.7572839813
146,53.0140272306,-169.7572839813
147,52.7523113533,-169.7572839813
148,-14.2964274566,-169.7572839813
149,63.3328388094,-169.632082835
150,63.1375288309,-169.632082835
151,62.9408955038,-169.632082835
152,56.6338840264,-169.632082835
153,52.8833667585,-169.632082835
154,-14.0861920911,-169.632082835
155,63.4299996212,-169.5068816888
156,63.2353488233,-169.5068816888
157,63.039378001,-169.5068816888
158,56.5144289305,-169.5068816888
159,-14.2964274566,-169.5068816888
160,63.3328388094,-169.3816805425
161,63.1375288309,-169.3816805425
162,56.6338840264,-169.3816805425
163,-14.0861920911,-169.3816805425
164,63.2353488233,-169.2564793962
165,52.7523113533,-169.2564793962
166,63.3328388094,-169.13127825
167,63.1375288309,-169.13127825
168,52.8833667585,-169.13127825
169,63.2353488233,-169.0060771037
170,53.0140272306,-169.0060771037
171,65.7544881579,-168.8808759574
172,63.3328388094,-168.8808759574
173,63.1375288309,-168.8808759574
174,53.1442932822,-168.8808759574
175,52.8833667585,-168.8808759574
176,63.2353488233,-168.7556748111
177,53.2741654325,-168.7556748111
178,53.0140272306,-168.7556748111
179,63.3328388094,-168.6304736649
180,53.1442932822,-168.6304736649
181,52.8833667585,-168.6304736649
182,53.2741654325,-168.5052725186
183,53.0140272306,-168.5052725186
184,53.4036442075,-168.3800713723
185,53.1442932822,-168.3800713723
186,65.6652841081,-168.254870226
187,53.5327301394,-168.254870226
188,53.2741654325,-168.254870226
189,65.5757719039,-168.1296690798
190,65.0321801087,-168.1296690798
191,53.4036442075,-168.1296690798
192,-14.5064664256,-168.1296690798
193,65.6652841081,-168.0044679335
194,64.9404871639,-168.0044679335
195,53.5327301394,-168.0044679335
196,53.2741654325,-168.0044679335
197,65.7544881579,-167.8792667872
198,65.5757719039,-167.8792667872
199,53.4036442075,-167.8792667872
200,65.6652841081,-167.7540656409
201,65.4859506999,-167.7540656409
202,53.5327301394,-167.7540656409
203,53.2741654325,-167.7540656409
204,65.7544881579,-167.6288644947
205,65.5757719039,-167.6288644947
206,65.3958196511,-167.6288644947
207,53.4036442075,-167.6288644947
208,65.8433848985,-167.5036633484
209,65.6652841081,-167.5036633484
210,65.4859506999,-167.5036633484
211,60.1535020023,-167.5036633484
212,53.2741654325,-167.5036633484
213,65.9319751755,-167.3784622021
214,65.7544881579,-167.3784622021
215,65.5757719039,-167.3784622021
216,65.3958196511,-167.3784622021
217,60.2612481148,-167.3784622021
218,60.0454016005,-167.3784622021
219,53.4036442075,-167.3784622021
220,65.8433848985,-167.2532610558
221,65.6652841081,-167.2532610558
222,65.4859506999,-167.2532610558
223,60.1535020023,-167.2532610558
224,53.7897256348,-167.2532610558
225,53.5327301394,-167.2532610558
226,53.2741654325,-167.2532610558
227,65.9319751755,-167.1280599096
228,65.7544881579,-167.1280599096
229,65.5757719039,-167.1280599096
230,65.3958196511,-167.1280599096
231,60.2612481148,-167.1280599096
232,60.0454016005,-167.1280599096
233,53.9176362945,-167.1280599096
234,53.6614237668,-167.1280599096
235,53.4036442075,-167.1280599096
236,66.0202598343,-167.0028587633
237,65.8433848985,-167.0028587633
238,65.6652841081,-167.0028587633
239,65.4859506999,-167.0028587633
240,65.1235589856,-167.0028587633
241,60.1535020023,-167.0028587633
242,59.9369461305,-167.0028587633
243,54.0451563031,-167.0028587633
244,53.7897256348,-167.0028587633
245,53.5327301394,-167.0028587633
246,68.2915068547,-166.877657617
247,66.1082397202,-166.877657617
248,65.9319751755,-166.877657617
249,65.7544881579,-166.877657617
250,65.5757719039,-166.877657617
251,65.3958196511,-166.877657617
252,65.0321801087,-166.877657617
253,60.2612481148,-166.877657617
254,60.0454016005,-166.877657617
255,53.9176362945,-166.877657617
256,53.6614237668,-166.877657617
257,53.4036442075,-166.877657617
258,68.3715766423,-166.7524564707
259,66.0202598343,-166.7524564707
260,65.8433848985,-166.7524564707
261,65.6652841081,-166.7524564707
262,65.4859506999,-166.7524564707
263,65.3053779122,-166.7524564707
264,65.1235589856,-166.7524564707
265,64.9404871639,-166.7524564707
266,60.3686407194,-166.7524564707
267,60.1535020023,-166.7524564707
268,59.9369461305,-166.7524564707
269,54.0451563031,-166.7524564707
270,53.7897256348,-166.7524564707
271,53.5327301394,-166.7524564707
272,68.2915068547,-166.6272553245
273,66.1082397202,-166.6272553245
274,65.9319751755,-166.6272553245
275,65.7544881579,-166.6272553245
276,65.5757719039,-166.6272553245
277,65.3958196511,-166.6272553245
278,65.0321801087,-166.6272553245
279,60.2612481148,-166.6272553245
280,60.0454016005,-166.6272553245
281,59.828134816,-166.6272553245
282,53.9176362945,-166.6272553245
283,53.6614237668,-166.6272553245
284,53.4036442075,-166.6272553245
285,68.3715766423,-166.5020541782
286,66.1959156788,-166.5020541782
287,66.0202598343,-166.5020541782
288,65.8433848985,-166.5020541782
289,65.6652841081,-166.5020541782
290,65.4859506999,-166.5020541782
291,65.3053779122,-166.5020541782
292,65.1235589856,-166.5020541782
293,64.9404871639,-166.5020541782
294,64.7561556956,-166.5020541782
295,60.3686407194,-166.5020541782
296,60.1535020023,-166.5020541782
297,59.9369461305,-166.5020541782
298,54.0451563031,-166.5020541782
299,53.7897256348,-166.5020541782
300,53.5327301394,-166.5020541782
301,68.4513652131,-166.3768530319
302,68.2915068547,-166.3768530319
303,66.1082397202,-166.3768530319
304,65.9319751755,-166.3768530319
305,65.7544881579,-166.3768530319
306,65.5757719039,-166.3768530319
307,65.3958196511,-166.3768530319
308,65.2146246386,-166.3768530319
309,65.0321801087,-166.3768530319
310,64.8484793074,-166.3768530319
