addr_full,brand,brand_wikidata,city,country,email,extras,facebook,housenumber,image,lat,located_in,located_in_wikidata,lon,name,nsi_id,opening_hours,phone,postcode,ref,state,street,street_address,twitter,website
,Longchamp,Q1869471,LECCE,IT,shop@contre.it,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,40.3524552,,,18.1762102,WHITE 7,longchamp-afbfc9,,+39 0832 247902,73100,IT087,,,"VIA NAZARIO SAURO, 26",,
,Longchamp,Q1869471,TARANTO,IT,guerratarantosrl@gmail.com,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,40.4713395,,,17.2391543,GUERRA,longchamp-afbfc9,,+39 099 459 1662,74123,IT066,,,PIAZZA GIOVANNI XXIII12,,
,Longchamp,Q1869471,BARI,IT,mimmaninni@gmail.com,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,41.1233347,,,16.87099220000005,MIMMA NINNI,longchamp-afbfc9,,+39 080 524 1922,70121,IT074,,,VIA PUTIGNANI 28,,
,Longchamp,Q1869471,ALTAMURA -BARI,IT,store@anteprimaextra.com,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,40.8244194,,,16.55208540000001,ANTEPRIMA,longchamp-afbfc9,,+39 080 311 2275,70022,IT076,,,"PIAZZA ZANARDELLI, 11",,
,Longchamp,Q1869471,TRANI,IT,uomo@nugnes1920.it,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,41.2763097,,,16.4157914,NUGNES 1920,longchamp-afbfc9,,+39 0883 588863,76125,IT101,,,"CORSO VITTORIO EMANUELE, 183",,
,Longchamp,Q1869471,THESSALONIKI,GR,,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,40.634065,,,22.9414,NOTOS THESSALONIKI,longchamp-afbfc9,,+30 231 036 6600,54624,GR007,,,"24, TSIMISKI STR. & MITROPOLEOS",,
,Longchamp,Q1869471,THESSALONIKI,GR,,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,40.632424,,,22.943603,ATTICA TSIMISKI,longchamp-afbfc9,,+30 231 181 9000,54623,GR004,,,"48-50, TSIMISKI STREET",,
,Longchamp,Q1869471,THESSALONIKI,GR,,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,40.557083,,,22.993663,ATTICA MEDITERRANEAN COSMOS,longchamp-afbfc9,,+30 231 181 3000,57001,GR003,,,11KM THESSALONIKIS-MOUDANION,,
,Longchamp,Q1869471,NÜRNBERG,DE,nuernberg@longchamp.com,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,49.4526098,,,11.07646449999993,LONGCHAMP NÜRNBERG,longchamp-afbfc9,,+49 911 2176970,90403,DE102,,,AN DER FLEISCHBRÜCKE 2,,
,Longchamp,Q1869471,PRAHA,CZ,prague@longchamp.com,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,50.0896663,,,14.41944669999998,LONGCHAMP PRAHA,longchamp-afbfc9,,+420 775 707 160,110 00,CZ004,,,PARIZSKA 125/16,,
,Longchamp,Q1869471,REGENSBURG,DE,f.mass@die-reisetasche.de,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,49.0205,,,12.0963,DIE REISETASCHE,longchamp-afbfc9,,+49 941 565630,93047,DE014,,,"6, POSTHORNGAESSCHEN",,
,Longchamp,Q1869471,NUERNBERG,DE,kontakt@breuninger.de,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,49.4511,,,11.0743,BREUNINGER,longchamp-afbfc9,,+49 911 27420,90403,DE087,,,34 KAROLINENSTRASSE,,
,Longchamp,Q1869471,BAMBERG,DE,info@feldbaum-bamberg.de,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,49.8917,,,10.8878,FELDBAUM,longchamp-afbfc9,,+49 951 2086200,96047,DE042,,,OBERE BRUECKE 4,,
